date,region,category,units,revenue
2024-01-08,North,Hardware,12,8400.00
2024-01-15,South,Software,30,5970.00
2024-01-22,East,Services,8,9600.00
2024-01-29,West,Hardware,18,12600.00
2024-02-05,North,Software,25,4975.00
2024-02-12,South,Services,11,13200.00
2024-02-19,East,Hardware,9,6300.00
2024-02-26,West,Software,40,7960.00
2024-03-04,North,Services,14,16800.00
2024-03-11,South,Hardware,21,14700.00
2024-03-18,East,Software,33,6567.00
2024-03-25,West,Services,7,8400.00
2024-04-01,North,Hardware,16,11200.00
2024-04-08,South,Software,28,5572.00
2024-04-15,East,Services,19,22800.00
2024-04-22,West,Hardware,13,9100.00
2024-05-06,North,Software,45,8955.00
2024-05-13,South,Services,6,7200.00
2024-05-20,East,Hardware,24,16800.00
2024-05-27,West,Software,37,7363.00
2024-06-03,North,Services,10,12000.00
2024-06-10,South,Hardware,29,20300.00
2024-06-17,East,Software,22,4378.00
2024-06-24,West,Services,15,18000.00
2024-07-01,North,Hardware,20,14000.00
2024-07-08,South,Software,31,6169.00
2024-07-15,East,Services,9,10800.00
2024-07-22,West,Hardware,17,11900.00
2024-08-05,North,Software,26,5174.00
2024-08-12,South,Services,12,14400.00
